===================================
|     ISBN      || Used  ||  New  |
|===============||=======||=======|
| 9780130175472 || 128.66 || 178.86 |
| 9780132856201 || 119.75 || 167.75 |
| 9780130467126 || 116.04 || 166.24 |
| 9780205034734 || 113.82 || 160.32 |
| 9780133760033 || 104.75 || 154.75 |
| 9780123820105 || 74.69 || 116.19 |
| 9780124059351 || 72.30 || 126.55 |
| 9780132627504 || 61.05 || 95.75 |
| 9780137002696 || 58.30 || 107.30 |
| 9780176408107 || 57.12 || 114.12 |
| 9780073397924 || 47.23 || 117.48 |
| 9780137152735 || 46.92 || 86.62 |
| 9780132091251 || 45.35 || 87.10 |
| 9780132540650 || 45.31 || 94.31 |
| 9780073383170 || 45.20 || 115.65 |
| 9780195427813 || 39.75 || 70.25 |
| 9780132036399 || 39.55 || 62.05 |
| 9780205809387 || 37.86 || 72.06 |
| 9780073525365 || 37.00 || 105.95 |
| 9780131841765 || 34.47 || 71.22 |
| 9780194370677 || 31.95 || 56.50 |
| 9780071793025 || 30.56 || 59.31 |
| 9780078022647 || 28.91 || 100.61 |
| 9780071622431 || 28.46 || 54.96 |
| 9780198290919 || 28.12 || 44.87 |
| 9780123838728 || 28.10 || 61.10 |
| 9780205770779 || 27.55 || 69.10 |
| 9780136006374 || 26.73 || 64.48 |
| 9780201122978 || 26.48 || 42.98 |
| 9780195446364 || 24.80 || 47.30 |
| 9780195423204 || 24.65 || 41.95 |
| 9780195446258 || 24.65 || 55.40 |
| 9780199858101 || 24.19 || 46.19 |
| 9780130084514 || 23.51 || 73.51 |
| 9780131830608 || 22.75 || 36.95 |
| 9780205380992 || 22.66 || 62.41 |
| 9780195446319 || 22.60 || 45.15 |
| 9780073524221 || 22.18 || 78.43 |
| 9780134117003 || 21.63 || 85.88 |
| 9780201122954 || 21.06 || 36.06 |
| 9780201122961 || 20.74 || 37.24 |
| 9780071051606 || 19.01 || 61.26 |
| 9780205553693 || 18.55 || 56.30 |
| 9780133399349 || 18.14 || 52.64 |
| 9780195314403 || 18.05 || 52.55 |
| 9780199666010 || 16.12 || 33.42 |
| 9780132122306 || 15.64 || 70.64 |
| 9780205645718 || 14.25 || 43.55 |
| 9780199656172 || 13.59 || 41.59 |
| 9780070740204 || 11.87 || 48.87 |
| 9780199559381 || 11.21 || 16.71 |
| 9780072822564 || 10.41 || 53.11 |
| 9780136043027 ||  8.87 || 34.87 |
| 9780099289524 ||  8.25 || 12.99 |
| 9780131453616 ||  7.56 || 56.86 |
| 9780130325228 ||  7.33 || 29.83 |
| 9780006485131 ||  7.20 || 12.15 |
| 9780060391683 ||  6.79 || 19.04 |
| 9780198715443 ||  6.65 || 12.40 |
| 9780199006977 ||  6.61 || 30.61 |
| 9780205482931 ||  6.60 || 42.35 |
| 9780073522777 ||  6.46 || 64.96 |
| 9780061787423 ||  6.34 || 11.59 |
| 9780199252541 ||  6.30 || 23.04 |
| 9780143168256 ||  6.10 || 11.05 |
| 9780131816299 ||  6.00 || 61.00 |
| 9780141182490 ||  5.99 ||  9.99 |
| 9780140086836 ||  5.80 || 10.05 |
| 9780156806473 ||  5.48 ||  9.73 |
| 9780073511375 ||  5.10 || 29.85 |
| 9780131344020 ||  4.52 || 19.52 |
| 9780006393832 ||  4.30 ||  9.00 |
| 9780195393590 ||  3.66 || 22.91 |
| 9780199014897 ||  3.60 || 23.55 |
| 9780199536610 ||  3.50 ||  7.45 |
| 9780143050711 ||  3.06 ||  8.56 |
| 9780195182200 ||  3.06 || 13.06 |
| 9780156695008 ||  2.84 ||  7.29 |
| 9780198782650 ||  2.52 || 25.07 |
| 9780199536528 ||  1.55 ||  4.25 |
| 9780199535774 ||  1.49 ||  3.99 |
| 9780140067774 ||  1.36 ||  4.10 |
| 9780062069160 ||  1.18 ||  9.93 |
| 9780143174165 ||  1.00 ||  6.50 |
| 9780195373684 ||  0.75 || 16.25 |
| 9780199766239 ||  0.74 ||  3.69 |
| 9780060913076 ||  0.34 ||  4.59 |
